"Source:","C:\Users\kburpee\Documents\KiCad\6.0\projects\EclectronicsMP1\EclectronicsMP1.kicad_sch"
"Date:","9/11/2022 4:12:24 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","C1","CC0603JRX7R9BB104","EclectronicsMP1:CC0603JRX7R9BB104","EclectronicsMP1:CAPC1608X90","","","","",""
"","","C2","C0603C105K3RACTU","EclectronicsMP1:C0603C105K3RACTU","EclectronicsMP1:CAPC1608X90","","","","",""
"","","C3","C0603C105K3RACTU","EclectronicsMP1:C0603C105K3RACTU","EclectronicsMP1:CAPC1608X90","","","","",""
"","","C4","CC0603JRX7R9BB104","EclectronicsMP1:CC0603JRX7R9BB104","EclectronicsMP1:CAPC1608X90","","","","",""
"","","D1","LTST-C171KRKT","EclectronicsMP1:LTST-C171KRKT","EclectronicsMP1:DIOC200X125X110","","LiteOn","","",""
"","","J1","48037-0001","EclectronicsMP1:48037-0001","EclectronicsMP1:MOLEX_48037-0001","","Molex","4.6mm","D","Manufacturer Recommendations"
"","","R1","RC0603FR-071K43L","EclectronicsMP1:RC0603FR-071K43L","EclectronicsMP1:RC0603FR-071K43L","","","","",""
"","","R2","RC0603FR-078K06L","EclectronicsMP1:RC0603FR-078K06L","EclectronicsMP1:RC0603FR-078K06L","","","","",""
"","","R3","RC0603FR-072ML","EclectronicsMP1:RC0603FR-072ML","EclectronicsMP1:RC0603FR-072ML","","","","",""
"","","R4","RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","","","","",""
"","","R5","RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","","","","",""
"","","R6","RC0603FR-0763R4L","EclectronicsMP1:RC0603FR-0763R4L","EclectronicsMP1:RC0603FR-0763R4L","","","","",""
"","","U1","MCP1702T-3302E/CB","EclectronicsMP1:MCP1702T-3302E{brace}slash}CB","EclectronicsMP1:MCP1702T-3302E&slash_CB","","","","",""
"","","U2","MCP6021T-E/OT","EclectronicsMP1:MCP6021T-E{brace}slash}OT","EclectronicsMP1:MCP6021T-E&slash_OT","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","2","C1, C4","CC0603JRX7R9BB104","EclectronicsMP1:CC0603JRX7R9BB104","EclectronicsMP1:CAPC1608X90","","","","",""
"2","2","C2, C3","C0603C105K3RACTU","EclectronicsMP1:C0603C105K3RACTU","EclectronicsMP1:CAPC1608X90","","","","",""
"3","1","D1","LTST-C171KRKT","EclectronicsMP1:LTST-C171KRKT","EclectronicsMP1:DIOC200X125X110","","LiteOn","","",""
"4","1","J1","48037-0001","EclectronicsMP1:48037-0001","EclectronicsMP1:MOLEX_48037-0001","","Molex","4.6mm","D","Manufacturer Recommendations"
"5","1","R1","RC0603FR-071K43L","EclectronicsMP1:RC0603FR-071K43L","EclectronicsMP1:RC0603FR-071K43L","","","","",""
"6","1","R2","RC0603FR-078K06L","EclectronicsMP1:RC0603FR-078K06L","EclectronicsMP1:RC0603FR-078K06L","","","","",""
"7","1","R3","RC0603FR-072ML","EclectronicsMP1:RC0603FR-072ML","EclectronicsMP1:RC0603FR-072ML","","","","",""
"8","2","R4, R5","RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","EclectronicsMP1:RC0603FR-07100RL","","","","",""
"9","1","R6","RC0603FR-0763R4L","EclectronicsMP1:RC0603FR-0763R4L","EclectronicsMP1:RC0603FR-0763R4L","","","","",""
"10","1","U1","MCP1702T-3302E/CB","EclectronicsMP1:MCP1702T-3302E{brace}slash}CB","EclectronicsMP1:MCP1702T-3302E&slash_CB","","","","",""
"11","1","U2","MCP6021T-E/OT","EclectronicsMP1:MCP6021T-E{brace}slash}OT","EclectronicsMP1:MCP6021T-E&slash_OT","","","","",""
