time	V(vout)
Step Information: Run=0  (Run: 1/65)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	8.245453e-005
1.999999943436137e-009	1.648102e-004
1.599999954748910e-008	1.308959e-003
3.199999909497819e-008	2.692980e-003
5.779436868675276e-008	5.388780e-003
8.711664513894208e-008	9.565736e-003
1.135653517935715e-007	1.467745e-002
1.406396390018357e-007	2.081767e-002
1.572416585210805e-007	2.448865e-002
1.790833617925293e-007	2.878536e-002
2.074563455713170e-007	3.386723e-002
2.339879560409211e-007	3.838937e-002
2.737053372153512e-007	4.502281e-002
3.225455869642308e-007	5.312047e-002
4.202260864619899e-007	6.925806e-002
5.573357878634098e-007	9.188415e-002
1.379993996271929e-006	2.275646e-001
2.476871607483287e-006	4.084548e-001
4.670626829906005e-006	7.702302e-001
9.058137274751439e-006	1.493778e+000
1.783315816444231e-005	2.940870e+000
2.000000000000000e-005	3.298203e+000
2.008938773245634e-005	3.298205e+000
2.026816319736901e-005	3.298205e+000
1.484439220832126e-003	3.298206e+000
2.948967829396709e-003	3.298206e+000
5.878025046525874e-003	3.298206e+000
1.076083754652587e-002	3.298206e+000
1.564365004652588e-002	3.298207e+000
2.052646254652588e-002	3.298207e+000
3.029208754652588e-002	3.298208e+000
4.005771254652588e-002	3.298209e+000
5.470615004652588e-002	3.298210e+000
6.935458754652588e-002	3.298211e+000
8.400302504652588e-002	3.298212e+000
1.035342750465259e-001	3.298213e+000
1.279483375465259e-001	3.298214e+000
1.523624000465259e-001	3.298215e+000
1.816592750465259e-001	3.298216e+000
2.158389625465259e-001	3.298217e+000
2.500186500465259e-001	3.298218e+000
2.841983375465259e-001	3.298219e+000
3.232608375465259e-001	3.298219e+000
3.623233375465259e-001	3.298219e+000
4.062686500465259e-001	3.298218e+000
4.404483375465259e-001	3.298211e+000
4.697452125465259e-001	3.298186e+000
4.843936500465259e-001	3.298084e+000
4.862247047340259e-001	3.297974e+000
4.864917335426197e-001	3.297910e+000
4.867969093238697e-001	3.297737e+000
4.868732032691822e-001	3.297632e+000
4.868970451270923e-001	3.297561e+000
4.869065818702564e-001	3.297500e+000
4.869256553565845e-001	3.297300e+000
4.869316158210620e-001	3.297177e+000
4.869340000068531e-001	3.297071e+000
4.869387683784351e-001	3.296742e+000
4.869397928167672e-001	3.296586e+000
4.869418416934314e-001	3.296057e+000
4.869421416338156e-001	3.295914e+000
4.869427415145839e-001	3.295484e+000
4.869428914847760e-001	3.295329e+000
4.869431914251601e-001	3.294867e+000
4.869434727593703e-001	3.294266e+000
4.869435430929229e-001	3.294039e+000
4.869436837600280e-001	3.293360e+000
4.869438334515694e-001	3.292395e+000
4.869438703437833e-001	3.292007e+000
4.869439195334018e-001	3.291301e+000
4.869439966018105e-001	3.289651e+000
4.869440607300774e-001	3.287369e+000
4.869441001646781e-001	3.284933e+000
4.869441268882838e-001	3.282093e+000
4.869441509665792e-001	3.277767e+000
4.869441710073365e-001	3.271521e+000
4.869441878034259e-001	3.262169e+000
4.869442021204547e-001	3.247782e+000
4.869442153013665e-001	3.223686e+000
4.869442300178375e-001	3.178598e+000
4.869442442271336e-001	3.114125e+000
4.869442637168802e-001	3.002317e+000
4.869442855288003e-001	2.863433e+000
4.869443100021398e-001	2.700592e+000
4.869443532084722e-001	2.407809e+000
4.869444373793004e-001	1.833392e+000
4.869446057209568e-001	6.886256e-001
4.869446721085227e-001	2.578082e-001
4.869447071348569e-001	6.489218e-002
4.869447183232475e-001	2.693292e-002
4.869447274323959e-001	1.351826e-002
4.869447307001900e-001	1.114313e-002
4.869447357211396e-001	9.001780e-003
4.869447392937445e-001	7.896650e-003
4.869447437475450e-001	6.906289e-003
4.869447486343125e-001	6.101069e-003
4.869447541709748e-001	5.435403e-003
4.869447616829831e-001	4.786629e-003
4.869447698805977e-001	4.288910e-003
4.869447822423327e-001	3.779014e-003
4.869447954693108e-001	3.415654e-003
4.869448170986712e-001	3.037306e-003
4.869448398403341e-001	2.790214e-003
4.869448853236600e-001	2.505886e-003
4.869449343472693e-001	2.331873e-003
4.869450323944877e-001	2.160689e-003
4.869451877051397e-001	2.032487e-003
4.869454983264438e-001	1.932423e-003
4.869461195690520e-001	1.862723e-003
4.869473620542683e-001	1.821873e-003
